,raceId,driverCode,teamName,startingGridPosition,position,positionDiff,circuitName,raceName,year,AirTemp,Humidity,TrackTemp,WindSpeed,WasRainingDuringRaceAnyTime,lapTireChange
15,990,ALO,McLaren,13,7,6,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,"14: SOFT->MEDIUM, 39: MEDIUM->SUPERSOFT"
16,990,BOT,Mercedes,3,2,1,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,20: SUPERSOFT->MEDIUM
17,990,ERI,Sauber,17,9,8,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,23: SOFT->MEDIUM
18,990,GAS,Toro Rosso,5,4,1,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,"15: SUPERSOFT->SOFT, 34: SOFT->SUPERSOFT"
19,990,GRO,Haas F1 Team,16,13,3,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,"18: SUPERSOFT->SOFT, 30: SOFT->SUPERSOFT, 45: SUPERSOFT->SUPERSOFT"
20,990,HAM,Mercedes,9,3,6,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,26: SOFT->MEDIUM
21,990,HAR,Toro Rosso,11,17,-6,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,"20: SUPERSOFT->SOFT, 42: SOFT->SUPERSOFT"
22,990,HUL,Renault,7,6,1,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,"15: SUPERSOFT->SOFT, 39: SOFT->SUPERSOFT"
23,990,LEC,Sauber,19,12,7,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,"3: SOFT->MEDIUM, 34: MEDIUM->SUPERSOFT"
24,990,MAG,Haas F1 Team,6,5,1,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,"13: SUPERSOFT->SUPERSOFT, 27: SUPERSOFT->SOFT"
25,990,OCO,Force India,8,10,-2,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,"15: SUPERSOFT->MEDIUM, 35: MEDIUM->SOFT"
26,990,PER,Force India,12,16,-4,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,"9: SOFT->MEDIUM, 32: MEDIUM->SUPERSOFT"
27,990,SAI,Renault,10,11,-1,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,"16: SUPERSOFT->SOFT, 26: SOFT->SOFT"
28,990,SIR,Williams,18,15,3,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,"22: SOFT->MEDIUM, 40: MEDIUM->SUPERSOFT"
29,990,STR,Williams,20,14,6,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,"10: SOFT->SUPERSOFT, 30: MEDIUM->MEDIUM"
30,990,VAN,McLaren,14,8,6,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,"10: SUPERSOFT->SOFT, 28: SOFT->MEDIUM"
31,990,VET,Ferrari,1,1,0,Bahrain International Circuit,Bahrain Grand Prix,2018,28.0,46.4,33.5,1.5,False,18: SUPERSOFT->SOFT
52,992,ALO,McLaren,12,7,5,Baku City Circuit,Azerbaijan Grand Prix,2018,17.2,46.1,27.1,2.1,False,"1: nan->SOFT, 40: SOFT->ULTRASOFT"
53,992,ERI,Sauber,18,11,7,Baku City Circuit,Azerbaijan Grand Prix,2018,17.2,46.1,27.1,2.1,False,"1: nan->SOFT, 18: SOFT->ULTRASOFT, 36: ULTRASOFT->ULTRASOFT, 39: ULTRASOFT->ULTRASOFT"
54,992,GAS,Toro Rosso,17,12,5,Baku City Circuit,Azerbaijan Grand Prix,2018,17.2,46.1,27.1,2.1,False,"12: ULTRASOFT->SOFT, 39: SOFT->ULTRASOFT"
55,992,HAM,Mercedes,2,1,1,Baku City Circuit,Azerbaijan Grand Prix,2018,17.2,46.1,27.1,2.1,False,"22: SUPERSOFT->SOFT, 40: SOFT->ULTRASOFT"
56,992,HAR,Toro Rosso,19,10,9,Baku City Circuit,Azerbaijan Grand Prix,2018,17.2,46.1,27.1,2.1,False,"1: nan->ULTRASOFT, 22: ULTRASOFT->SUPERSOFT, 39: SUPERSOFT->ULTRASOFT"
57,992,LEC,Sauber,13,6,7,Baku City Circuit,Azerbaijan Grand Prix,2018,17.2,46.1,27.1,2.1,False,"24: SUPERSOFT->SOFT, 40: SOFT->ULTRASOFT"
