,raceId,driverId,startingGridPosition,position,constructorId,lap,driverCode,year,raceName,circuitId,AirTemp,Humidity,TrackTemp,WindSpeed,WasRainingDuringRaceAnyTime,positionDiff,teamName,circuitRef,circuitName,tireChange
0,841,20,1,1,9,14,VET,2011,Australian Grand Prix,1,,,,,,0,Red Bull,albert_park,Albert Park Grand Prix Circuit,
1,841,20,1,1,9,36,VET,2011,Australian Grand Prix,1,,,,,,0,Red Bull,albert_park,Albert Park Grand Prix Circuit,
24,841,1,2,2,1,16,HAM,2011,Australian Grand Prix,1,,,,,,0,McLaren,albert_park,Albert Park Grand Prix Circuit,
25,841,1,2,2,1,36,HAM,2011,Australian Grand Prix,1,,,,,,0,McLaren,albert_park,Albert Park Grand Prix Circuit,
51,841,808,6,3,4,16,PET,2011,Australian Grand Prix,1,,,,,,3,Renault,albert_park,Albert Park Grand Prix Circuit,
52,841,808,6,3,4,36,PET,2011,Australian Grand Prix,1,,,,,,3,Renault,albert_park,Albert Park Grand Prix Circuit,
65,841,4,5,4,6,12,ALO,2011,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit,
66,841,4,5,4,6,27,ALO,2011,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit,
67,841,4,5,4,6,42,ALO,2011,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit,
2,841,17,3,5,9,11,WEB,2011,Australian Grand Prix,1,,,,,,-2,Red Bull,albert_park,Albert Park Grand Prix Circuit,
3,841,17,3,5,9,26,WEB,2011,Australian Grand Prix,1,,,,,,-2,Red Bull,albert_park,Albert Park Grand Prix Circuit,
4,841,17,3,5,9,41,WEB,2011,Australian Grand Prix,1,,,,,,-2,Red Bull,albert_park,Albert Park Grand Prix Circuit,
26,841,18,4,6,1,17,BUT,2011,Australian Grand Prix,1,,,,,,-2,McLaren,albert_park,Albert Park Grand Prix Circuit,
27,841,18,4,6,1,19,BUT,2011,Australian Grand Prix,1,,,,,,-2,McLaren,albert_park,Albert Park Grand Prix Circuit,
28,841,18,4,6,1,37,BUT,2011,Australian Grand Prix,1,,,,,,-2,McLaren,albert_park,Albert Park Grand Prix Circuit,
68,841,13,8,7,6,13,MAS,2011,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit,
69,841,13,8,7,6,31,MAS,2011,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit,
70,841,13,8,7,6,48,MAS,2011,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit,
93,841,67,10,8,5,15,BUE,2011,Australian Grand Prix,1,,,,,,2,Toro Rosso,albert_park,Albert Park Grand Prix Circuit,
94,841,67,10,8,5,29,BUE,2011,Australian Grand Prix,1,,,,,,2,Toro Rosso,albert_park,Albert Park Grand Prix Circuit,
124,841,16,16,9,10,16,SUT,2011,Australian Grand Prix,1,,,,,,7,Force India,albert_park,Albert Park Grand Prix Circuit,
125,841,16,16,9,10,37,SUT,2011,Australian Grand Prix,1,,,,,,7,Force India,albert_park,Albert Park Grand Prix Circuit,
126,841,814,14,10,10,14,DIR,2011,Australian Grand Prix,1,,,,,,4,Force India,albert_park,Albert Park Grand Prix Circuit,
127,841,814,14,10,10,36,DIR,2011,Australian Grand Prix,1,,,,,,4,Force India,albert_park,Albert Park Grand Prix Circuit,
